qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
CDY18994	AT4G28230	79.157	1233	173	50	1	1173	1	1209	0	776
CDY19040	AT4G34670	95.455	44	2	0	43	86	697	740	2.13e-12	71.3
CDY19003	AT4G28110	86.427	862	91	15	1	855	1	843	0	920
CDY19018	AT4G27880	91.677	817	68	0	149	965	161	977	0	1133
CDY18979	AT4G32480	83.4	753	113	4	1	753	1	741	0	688
CDY19020	AT4G27860	82.277	852	126	11	933	1782	963	1791	0	713
CDY18995	AT4G28210	85.076	985	123	10	71	1039	71	1047	0	983
CDY19036	AT4G27670	82.729	689	96	13	1	673	1	682	2.38e-168	592
CDY19010	AT4G28040	87.085	1084	134	3	1	1084	1	1078	0	1221
CDY19019	AT4G27870	80.681	1175	167	28	1224	2362	1134	2284	0	857
CDY19035	AT4G27680	88.27	1185	121	7	7	1173	4	1188	0	1402
CDY18985	AT4G28300	85.734	1479	163	14	7	1440	16	1491	0	1519
CDY18982	AT4G28330	88.494	478	53	2	1	477	1	477	4.64e-164	577
CDY18975	AT4G32490	84.305	446	69	1	6	451	7	451	3.97e-121	435
CDY19033	AT4G27700	88.29	649	64	10	45	684	30	675	0	767
CDY19055	AT4G27540	85.109	732	100	4	1	729	1	726	0	739
CDY19051	AT4G27590	85.138	471	55	7	1	456	1	471	2.78e-131	468
CDY18987	AT4G28280	87.5	488	47	11	1	481	1	481	2.85e-156	551
CDY18977	AT1G06820	89.474	76	6	2	143	217	1788	1714	2.99e-19	95.3
CDY18974	AT4G28380	87.329	1168	137	5	1	1158	1	1167	0	1327
CDY19007	AT4G28070	89.059	1435	130	16	1	1426	1	1417	0	1755
CDY19012	AT4G28030	91.322	242	19	2	25	265	547	787	8.29e-90	329
CDY18996	AT4G28190	89.143	700	75	1	24	723	16	714	0	870
CDY18988	AT4G28270	85.956	591	69	10	1	587	1	581	9.47e-177	619
CDY19004	AT4G28100	87.872	907	103	6	1	902	1	905	0	1059
CDY58824	AT1G08030	84.402	1513	204	12	1	1491	1	1503	0	1458
CDY58836	AT1G07720	88.673	1439	147	5	1	1425	1	1437	0	1740
CDY58829	AT1G07890	89.96	747	71	4	1	745	1	745	0	961
CDY58835	AT1G07720	88.603	1439	148	5	1	1425	130	1566	0	1735
CDY58823	AT1G08035	84.451	328	41	5	30	352	12	334	3.12e-85	315
CDY67800	AT1G63300	83.58	1352	147	34	31	1310	241	1589	0	1197
CDY69222	AT4G13370	79.839	496	64	18	766	1246	844	1318	3.96e-89	329
CDY68586	AT1G19840	87.229	462	53	1	1	456	1	462	2.1e-147	521
CDY65567	AT4G02550	85.972	941	110	13	1	936	1	924	0	987
CDY65568	AT4G02530	84.45	418	50	7	60	477	243	645	3.93e-110	398
CDY72465	AT1G33410	88.839	224	25	0	36	259	3933	4156	1.12e-73	276
CDY70382	AT4G08510	75.45	778	125	38	495	1224	570	1329	1.04e-85	318
CDY51608	AT1G67550	89.964	2521	236	7	1	2508	1	2517	0	3238
CDY51606	AT1G67560	85.606	2758	377	9	1	2742	1	2754	0	2876
CDY51611	AT1G74190	78.947	304	62	2	391	693	2365	2667	4.31e-52	206
CDY67673	AT5G53850	93.247	770	52	0	4	773	16	785	0	1134
CDY67672	AT1G11330	85.916	2336	282	13	134	2441	131	2447	0	2447
CDY71065	AT4G22910	91.667	312	26	0	1	312	1141	1452	6.78e-121	433
CDY41227	AT3G55480	88.585	2374	258	8	915	3277	972	3343	0	2870
CDY41228	AT3G55470	90.558	466	44	0	1	466	1	466	2.68e-176	617
CDY41217	AT3G55510	84.927	1506	213	11	383	1884	56	1551	0	1511
CDY41197	AT3G55660	86.857	1438	158	18	3	1420	6	1432	0	1580
CDY41236	AT3G55420	86.963	652	79	5	1	649	1	649	0	728
CDY41239	AT3G55380	88.515	505	56	2	1	504	1	504	4.85e-174	610
CDY41201	AT3G55620	90.205	633	62	0	133	765	106	738	0	826
CDY41224	AT3G54910	78.246	1140	218	23	115	1242	1	1122	0	704
CDY41214	AT3G55520	91.068	571	51	0	1	571	1	571	0	773
CDY41231	AT3G55450	84.97	1171	159	8	1	1155	1	1170	0	1171
CDY41213	AT3G55530	89.681	814	72	5	1	811	1	805	0	1027
CDY41207	AT3G55580	88.733	1358	144	3	82	1430	97	1454	0	1652
CDY41233	AT3G55440	91.935	124	8	2	105	227	333	455	2.78e-42	172
CDY41234	AT3G55430	85.756	1369	175	10	1	1368	1	1350	0	1430
CDY41220	AT3G54910	80.97	268	49	2	134	400	173	439	5.46e-54	211
CDY41215	AT3G55515	82.486	177	26	5	66	241	42	214	6.21e-36	150
CDY41199	AT3G55640	87.859	766	84	6	1	766	1	757	0	891
CDY41219	AT3G54910	77.087	515	108	7	1	510	613	1122	2.61e-77	289
CDY41238	AT3G55390	89.1	578	63	0	1	578	1	578	0	719
CDY41211	AT3G55560	83.241	901	121	16	14	888	37	933	0	800
CDY41235	AT3G55420	90.984	244	22	0	1	244	406	649	7.05e-90	329
CDY41200	AT3G55630	88.425	1486	143	14	1	1464	1	1479	0	1764
CDY41237	AT3G55400	88.284	1707	187	9	72	1770	150	1851	0	2032
CDY61168	AT4G13270	84.977	639	91	4	11	645	8	645	0	643
CDY67401	AT5G51800	85.034	1029	135	13	1335	2346	1893	2919	0	1029
CDY43594	AT5G43050	85.744	477	60	6	1	470	1	476	3.67e-140	497
CDY43599	AT5G43190	85.632	1218	161	12	1	1211	1	1211	0	1267
CDY43604	AT5G43270	83.781	857	115	13	7	843	31	883	0	791
CDY43600	AT5G43230	87.699	2569	260	30	1	2535	1	2547	0	2942
CDY43610	AT5G43340	88.584	219	25	0	211	429	1171	1389	1.16e-70	267
CDY43605	AT5G43280	83.534	832	135	2	1	831	7	837	0	776
CDY43618	AT1G49750	85.114	571	83	2	53	622	905	1474	1.34e-165	582
CDY43607	AT5G43300	88.303	436	41	6	58	486	6	438	8.33e-145	514
CDY43590	AT5G42940	88.608	553	54	3	717	1266	1530	2076	0	664
CDY43592	AT5G42980	80.984	305	58	0	26	330	8	312	1.48e-63	243
CDY43588	AT5G42900	77.297	370	57	20	37	382	64	430	2.08e-48	193
CDY54504	AT1G68660	89.441	483	39	5	1	474	1	480	9.84e-171	599
CDY54505	AT1G68590	84.35	377	44	11	29	393	17	390	2.19e-97	355
CDY54500	AT1G68730	79.009	424	66	12	91	495	94	513	3.3e-71	268
CDY54501	AT1G68720	85.775	2130	269	18	1740	3864	1824	3924	0	2224
CDY54506	AT1G68585	86.158	354	43	3	1	354	1	348	3.86e-104	377
CDY54499	AT1G68740	88.465	1257	122	8	1	1253	1	1238	0	1496
CDY71751	AT2G06040	85.12	793	103	11	663	1455	828	1605	0	797
CDY66787	AT1G71380	86.831	1458	186	6	1	1455	1	1455	0	1624
CDY66788	AT1G71400	80	455	91	0	631	1085	2020	2474	2.01e-91	337
CDY69892	AT3G54660	89.374	1694	163	13	1	1684	1	1687	0	2115
CDY66644	AT1G67960	89.015	528	58	0	2	529	620	1147	0	654
CDY66643	AT4G34770	90.159	315	31	0	1	315	1	315	3.21e-114	411
CDY67879	AT4G28300	84.431	1458	173	20	25	1437	43	1491	0	1386
CDY68558	AT3G15950	87.971	956	90	10	314	1255	359	1303	0	1105
CDY29603	AT4G30950	82.699	289	31	9	1	288	949	1219	1.45e-62	239
CDY29606	AT1G50840	81.958	1879	290	28	614	2464	109	1966	0	1546
CDY29586	AT1G50460	91.735	1222	101	0	3	1224	276	1497	0	1698
CDY29613	AT1G50910	80.244	491	60	9	10	494	4	463	3.96e-91	335
CDY29625	AT1G51260	89.805	1128	111	3	6	1131	6	1131	0	1443
CDY29609	AT1G50890	87.765	1038	112	5	1282	2316	1435	2460	0	1199
CDY29592	AT1G50510	91.598	976	76	1	39	1014	24	993	0	1343
CDY29601	AT1G36380	88.938	226	22	1	6	228	9	234	9.32e-74	276
CDY29628	AT1G51340	90.139	1511	137	6	43	1541	28	1538	0	1954
CDY29600	AT1G50710	89.224	1225	90	13	23	1208	38	1259	0	1493
CDY29612	AT1G50900	86.338	527	66	5	8	531	5	528	8.69e-162	569
CDY29626	AT1G51310	89.034	766	78	1	767	1526	686	1451	0	944
CDY29615	AT1G50930	80.399	602	75	22	1	570	1	591	3.59e-116	418
CDY29593	AT1G50520	85.827	508	68	2	782	1287	1004	1509	2.2e-151	536
CDY29621	AT1G51130	83.303	1096	150	14	93	1158	108	1200	0	979
CDY69785	AT4G33960	81.643	207	26	5	1	198	1	204	2.13e-39	161
CDY71146	AT1G69530	87.782	753	89	1	1	750	1	753	0	878
CDY72568	AT3G60450	89.691	582	50	5	233	806	122	701	0	734
CDY46634	AT1G78100	72.747	466	99	24	1	446	1	458	7.8e-30	132
CDY46638	AT1G78190	79.373	383	66	7	1	378	1	375	5.38e-68	257
CDY46646	AT1G78300	82.561	734	113	11	28	752	25	752	1.64e-180	632
CDY46640	AT1G22300	89.804	765	75	1	1	762	1	765	0	977
CDY46636	AT1G22240	84.529	976	151	0	528	1503	573	1548	0	966
CDY46649	AT1G22450	85.263	570	67	6	1	554	1	569	2.55e-162	571
CDY46648	AT1G22440	82.873	362	62	0	1	362	799	1160	1.39e-88	326
CDY46641	AT1G22310	100	30	0	0	285	314	711	740	5.85e-07	56.5
CDY46631	AT1G22200	90.775	1149	106	0	1	1149	13	1161	0	1535
CDY46632	AT2G39490	85.056	1151	155	7	1	1135	1	1150	0	1157
CDY69292	AT5G57020	83.154	1300	217	2	1	1299	1	1299	0	1186
CDY70359	AT1G24020	88.922	334	35	2	1	333	124	456	3.54e-114	411
CDY30042	AT1G11925	84.906	424	62	2	1	423	1	423	4.35e-119	427
CDY30051	AT1G12110	88.902	847	91	2	1	844	1	847	0	1040
CDY30086	AT1G12530	88.889	117	13	0	1	117	235	351	4.47e-34	145
CDY30066	AT1G12220	76.562	128	28	2	1350	1476	2508	2634	1.13e-10	69.4
CDY30080	AT1G12430	87.55	2771	314	16	1	2751	1	2760	0	3177
CDY30070	AT1G12310	87.865	445	53	1	3	447	4	447	2.06e-147	521
CDY30035	AT4G28010	80.96	1980	344	17	106	2061	139	2109	0	1537
CDY30079	AT1G12420	90.038	1325	130	2	1	1324	1	1324	0	1714
CDY30034	AT1G11900	82.423	1098	166	18	6	1076	6	1103	0	933
CDY30054	AT1G12150	83.284	341	39	10	1	323	1207	1547	2.71e-80	298
CDY30072	AT1G12330	85.219	1556	179	12	1	1544	1	1517	0	1552
CDY30046	AT1G12000	91.603	1703	137	5	1	1700	1	1700	0	2348
CDY30039	AT1G11915	87.94	995	113	6	1	993	1	990	0	1166
CDY30071	AT1G12320	85.043	575	65	7	1	575	1	554	1.32e-160	566
CDY30074	AT1G12360	91.745	2011	152	9	1	2007	1	2001	0	2782
CDY30085	AT1G12500	86.661	1087	143	2	1	1086	1	1086	0	1203
CDY30027	AT1G13570	83.293	1251	209	0	1	1251	1	1251	0	1153
CDY30048	AT1G12030	83.729	842	120	9	42	879	42	870	0	780
CDY30050	AT2G32800	85.319	361	53	0	10	370	2194	2554	5.03e-103	374
CDY30045	AT1G11990	86.258	1339	146	11	443	1780	467	1768	0	1419
CDY30078	AT1G12410	89.915	823	83	0	1	823	1	823	0	1061
CDY30083	AT1G12470	91.664	2987	224	7	1	2982	1	2967	0	4113
CDY30033	AT1G11890	92.39	657	50	0	1	657	1	657	0	937
CDY30068	AT1G15880	86.682	443	44	4	184	614	40	479	6.58e-134	477
CDY30084	AT1G12480	87.799	1672	181	10	103	1761	10	1671	0	1936
CDY30052	AT1G12110	89.236	288	31	0	1	288	1483	1770	3.04e-99	361
CDY30081	AT1G12450	86.42	891	109	7	1	882	1	888	0	965
CDY30055	AT1G12230	89.528	1165	122	0	252	1416	54	1218	0	1476
CDY51656	AT4G30210	89.115	2113	216	7	20	2121	27	2136	0	2615
CDY51646	AT4G30120	86.047	559	78	0	1	559	1	559	3.43e-171	601
CDY51654	AT4G30200	86.213	544	72	2	381	924	435	975	2.71e-166	586
CDY51644	AT4G30160	89.854	2937	271	8	1	2922	1	2925	0	3747
CDY51649	AT4G30170	89.877	405	41	0	1	405	1	405	5.46e-147	521
CDY51647	AT4G30120	89.28	681	64	4	35	708	473	1151	0	845
CDY72269	AT3G43250	83.824	476	74	2	1	476	1	473	1.6e-125	449
CDY61281	AT1G35460	83.871	744	99	11	31	756	40	780	0	689
CDY72512	AT5G06770	82.418	182	32	0	306	487	312	493	2.64e-38	159
CDY69417	AT2G34830	84.488	722	71	18	3	696	603	1311	0	675
CDY61218	AT1G70630	87.802	951	116	0	958	1908	664	1614	0	1114
CDY61226	AT1G70560	88.356	1125	123	5	22	1139	46	1169	0	1345
CDY61216	AT1G18650	91.422	408	26	4	1	399	94	501	2.77e-156	551
CDY61222	AT1G70590	82.076	1021	156	19	1	1003	1	1012	0	846
CDY68354	AT1G28690	85.041	849	127	0	578	1426	701	1549	0	865
CDY72032	AT5G01360	88.183	1117	125	7	211	1323	24	1137	0	1325
CDY63333	AT3G63010	86.296	1080	142	4	1	1077	1	1077	0	1170
CDY63340	AT3G63110	85.401	959	140	0	1	959	1	959	0	996
CDY61453	AT2G37420	85.07	355	53	0	114	468	2766	3120	1.39e-99	363
CDY61455	AT5G51270	86.414	1001	128	5	1003	1999	970	1966	0	1088
CDY64616	AT1G17430	87.07	959	116	6	1	955	1	955	0	1077
CDY64617	AT1G17420	87.323	2761	346	3	1	2759	1	2759	0	3157
CDY49321	AT4G32750	89.842	886	85	3	1	885	1	882	0	1133
CDY49326	AT4G32860	83.248	585	71	13	1	561	19	600	1.57e-144	512
CDY49323	AT4G32790	88.071	1358	148	5	355	1702	424	1777	0	1598
CDY49322	AT4G32760	90.132	1510	131	9	1	1510	1	1492	0	1947
CDY66688	AT5G55620	88.889	306	31	1	1	303	1	306	4.04e-103	374
CDY66690	AT5G55670	84.84	1471	132	30	579	1975	678	2131	0	1397
CDY66687	AT5G55600	86.982	1882	199	18	1	1841	1	1877	0	2076
CDY53866	AT1G72710	90.981	1131	96	3	214	1341	271	1398	0	1519
CDY58673	AT4G01395	84.252	381	59	1	3	382	420	800	6.71e-102	370
CDY65103	AT1G61590	90.991	444	40	0	1	444	1	444	9.97e-171	599
CDY65104	AT1G61590	89.301	458	49	0	45	502	444	901	1.8e-163	575
CDY67507	AT1G06930	81.203	133	22	2	28	157	1	133	8.9e-22	104
CDY67505	AT1G06920	78.86	544	91	13	386	905	404	947	2.77e-94	346
CDY67508	AT1G06970	84.145	801	125	2	176	975	1691	2490	0	774
CDY52761	AT2G01820	86.34	959	123	5	1583	2540	1733	2684	0	1038
CDY50240	AT1G21450	82.807	1204	193	8	529	1731	592	1782	0	1064
CDY50238	AT1G21430	86.051	509	61	8	1	502	1	506	4.72e-152	538
CDY50241	AT1G21460	89.148	728	73	2	1	722	1	728	0	902
CDY50236	AT1G76980	77.073	410	84	10	59	464	65	468	7.53e-59	228
CDY50243	AT1G77130	82.746	1588	253	16	306	1878	222	1803	0	1395
CDY50233	AT1G21360	88.839	672	70	3	1	668	1	671	0	821
CDY50232	AT1G21350	85.942	754	99	6	1	752	1	749	0	798
CDY50242	AT1G21480	89.009	1392	132	8	1	1374	1	1389	0	1703
CDY50234	AT1G21370	87.05	888	107	7	133	1015	140	1024	0	996
CDY50245	AT1G21510	79.839	992	157	24	1	969	1	972	0	684
CDY70566	AT5G42520	85.509	1042	116	18	1	1020	1	1029	0	1055
CDY50493	AT5G52910	87.625	2796	323	7	1	2780	1	2789	0	3225
CDY50495	AT5G52960	88.991	436	42	1	67	502	82	511	3e-151	534
CDY50489	AT5G52890	83.141	433	64	7	378	807	531	957	1.54e-106	387
CDY50494	AT5G52920	91.964	224	16	1	247	468	529	752	1.42e-84	313
CDY50498	AT5G53000	89.763	801	80	2	1	800	1	800	0	1024
CDY50490	AT5G52900	85.449	701	85	12	1	685	1	700	0	713
CDY50496	AT5G52980	91.792	597	47	2	1	596	1	596	0	830
CDY39578	AT3G48380	88.785	1712	173	9	9	1712	6	1706	0	2080
CDY39567	AT5G63110	74.586	905	223	5	319	1218	337	1239	1.71e-107	390
CDY39572	AT3G48250	79.102	1359	244	25	115	1441	151	1501	0	900
CDY39561	AT3G48200	89.369	3283	328	14	1	3280	1	3265	0	4109
CDY39563	AT2G47020	86.041	437	36	9	283	703	473	900	2.35e-124	446
CDY39584	AT3G48430	81.749	1978	261	49	2081	3978	2126	4083	0	1561
CDY39587	AT3G48460	84.288	1152	172	7	1	1149	1	1146	0	1116
CDY39575	AT3G48350	88.569	1041	114	5	1	1037	1	1040	0	1258
CDY39581	AT3G48420	91.31	794	69	0	173	966	167	960	0	1085
CDY39579	AT3G48410	86.961	1089	133	9	36	1118	36	1121	0	1216
CDY39588	AT3G48490	87.234	141	15	1	1	138	1	141	5.78e-38	158
CDY39566	AT5G47440	85.892	241	32	2	76	315	982	1221	1.59e-67	255
CDY39574	AT3G48340	85.123	894	121	5	1	885	196	1086	0	904
CDY39557	AT3G07180	86.425	1768	217	10	42	1790	27	1790	0	1914
CDY39570	AT5G63110	74.634	887	209	11	352	1227	358	1239	1.34e-103	377
CDY39571	AT3G48240	81.25	400	70	5	14	409	23	421	3.62e-86	318
CDY39568	AT5G55520	79.055	1079	136	39	317	1311	296	1368	0	658
CDY39560	AT3G48187	80.128	1097	189	17	188	1268	305	1388	0	791
CDY39582	AT1G23070	85.258	1126	150	10	1	1121	1	1115	0	1146
CDY39576	AT3G48360	84.22	1090	152	11	1	1084	1	1076	0	1042
CDY39583	AT3G48425	89.498	1095	111	2	1	1093	1	1093	0	1382
CDY66911	AT3G30530	91.379	522	40	5	1	518	1	521	0	710
CDY66910	AT3G30580	86.717	399	41	7	1	399	1	387	8.79e-121	433
CDY70430	AT1G80040	81.242	757	113	8	1	738	1	747	4.37e-166	584
CDY55232	AT3G13882	86.937	444	55	1	1	441	1	444	1.23e-139	496
CDY55235	AT3G13850	84.767	814	77	15	1	774	1	807	0	773
CDY60164	AT3G10070	82.752	1635	216	20	1	1584	1	1620	0	1397
CDY60166	AT3G10130	86.877	762	95	3	158	915	170	930	0	848
CDY60162	AT3G10060	88.937	696	71	3	1	696	4	693	0	854
CDY60158	AT3G10030	84.924	1645	219	18	1	1632	1	1629	0	1637
CDY60161	AT3G10050	87.57	1609	198	2	211	1818	172	1779	0	1862
CDY60168	AT3G10185	85.946	370	40	5	1	361	1	367	2.27e-106	385
CDY60157	AT3G10020	82.222	450	65	3	1	447	1	438	6.32e-103	374
CDY60167	AT3G10150	86.915	1047	115	12	111	1155	78	1104	0	1155
CDY45010	AT5G49665	80.929	2239	359	45	1	2187	1	2223	0	1707
CDY65656	AT5G10550	83.142	261	38	4	359	618	1085	1340	1.53e-60	233
CDY67329	AT2G47500	90.476	1218	101	9	1176	2387	1653	2861	0	1592
CDY67330	AT2G48120	85.714	399	36	7	1	384	532	924	2.38e-111	401
CDY67328	AT2G47510	90.875	263	24	0	205	467	1	263	8.68e-97	353
CDY62892	AT5G03310	82.84	338	46	5	1	326	1	338	1.3e-78	292
CDY62902	AT5G03170	87.584	741	83	7	1	732	1	741	0	850
CDY62901	AT5G03180	77.038	1006	143	44	300	1231	393	1384	1.01e-139	497
CDY62896	AT5G03260	89.796	1666	170	0	18	1683	9	1674	0	2135
CDY69840	AT5G58410	91.477	528	45	0	1	528	5095	5622	0	726
CDY33067	AT1G55120	87.507	1737	188	12	22	1733	43	1775	0	1978
CDY33082	AT1G54180	80.385	780	121	17	1	764	1	764	9.13e-160	564
CDY33059	AT1G55320	87.471	2187	248	11	1	2165	1	2183	0	2497
CDY33090	AT1G54100	84.926	272	26	1	108	364	930	1201	6.75e-69	261
CDY33084	AT1G54160	85.144	727	78	18	45	762	57	762	0	717
CDY33081	AT3G13980	90.909	66	6	0	52	117	40	105	5.47e-17	89.8
CDY33078	AT1G54210	90.04	251	25	0	32	282	41	291	1.06e-88	326
CDY33062	AT1G55270	84.798	1309	194	4	1	1308	1	1305	0	1310
CDY33057	AT1G55325	89.182	5731	533	28	1	5656	1	5719	0	7068
CDY33053	AT1G55340	89.937	318	29	1	1	318	304	618	4.19e-113	407
CDY33076	AT1G54215	84.667	150	22	1	290	439	359	507	3.97e-35	148
CDY33061	AT1G55300	87.204	633	51	13	1	624	1	612	0	693
CDY33060	AT1G55310	81.382	897	101	27	1	864	1	864	0	671
CDY33083	AT1G54170	81.982	1110	159	25	111	1200	115	1203	0	904
CDY33080	AT1G54210	90.438	251	24	0	32	282	41	291	2.28e-90	331
CDY33052	AT1G55350	91.393	4636	387	4	1	4627	1	4633	0	6340
CDY33085	AT1G54150	79.721	1149	178	29	43	1174	40	1150	0	780
CDY33065	AT1G55180	85.428	2292	316	9	1	2277	1	2289	0	2366
CDY33066	AT1G55170	87.971	690	83	0	130	819	163	852	0	815
CDY33093	AT1G54070	78.992	357	51	15	967	1314	14	355	7.13e-57	222
CDY33086	AT1G54140	84.375	288	35	4	6	293	175	452	4.94e-73	274
CDY06518	AT5G56180	87.571	1416	161	8	1	1401	1	1416	0	1626
CDY06521	AT5G56150	90.828	447	41	0	37	483	1	447	1e-170	599
CDY06595	AT5G55280	89.252	1163	122	2	119	1278	140	1302	0	1452
CDY06604	AT5G55140	88.182	330	39	0	1	330	1	330	3.4e-109	394
CDY06568	AT5G55590	79.879	1153	206	21	1	1137	1	1143	0	821
CDY06603	AT5G55150	83.333	90	12	1	972	1058	975	1064	3.72e-14	80.5
CDY06615	AT5G55060	85.802	162	10	7	11	168	8	160	6.4e-39	159
CDY06559	AT5G55700	88.471	1596	173	4	1	1586	1	1595	0	1917
CDY06573	AT5G55560	85.922	895	118	5	36	923	42	935	0	948
CDY06589	AT5G55350	76.43	1014	217	18	1	1003	1	1003	2.9e-149	529
CDY06574	AT5G55520	85.892	964	122	6	1327	2289	1441	2391	0	1014
CDY06607	AT5G55125	89.912	228	20	1	1	228	1	225	3.24e-78	291
CDY06602	AT5G55170	74.419	215	51	3	234	446	45	257	2.69e-17	89.8
CDY06634	AT5G54660	86.331	556	64	6	1	544	1	556	1.5e-169	595
CDY06548	AT5G55940	91.228	627	55	0	1	627	1	627	0	854
CDY06624	AT5G54870	88.119	1574	179	6	1	1567	1	1573	0	1864
CDY06515	AT5G56240	77.137	1439	221	60	311	1674	359	1764	0	736
CDY06606	AT5G55130	86.436	1386	182	5	10	1389	10	1395	0	1513
CDY06614	AT5G55060	87.58	1723	197	8	1	1719	280	1989	0	1980
CDY06558	AT5G55710	90.957	575	49	3	62	636	59	630	0	771
CDY06591	AT3G15820	81.47	653	118	3	31	682	188	838	1.54e-150	532
CDY06611	AT5G55100	84.399	2564	328	48	1	2540	1	2516	0	2453
CDY06514	AT5G56250	85.507	345	41	5	1	339	1	342	1.38e-95	351
CDY06617	AT5G55050	83.927	1095	171	4	32	1125	41	1131	0	1042
CDY06625	AT5G23960	85.427	199	29	0	936	1134	1116	1314	2.17e-52	207
CDY06630	AT5G54800	88.785	1070	101	11	103	1155	88	1155	0	1293
CDY06577	AT1G33750	81.847	314	39	12	2	315	656	951	8.78e-65	248
CDY06588	AT5G55350	77.087	515	98	16	240	744	504	1008	2.35e-74	279
CDY06562	AT5G55670	83.893	1043	106	19	364	1348	529	1567	0	939
CDY06592	AT5G55310	85.275	944	112	12	290	1209	818	1758	0	948
CDY06513	AT5G56260	93.413	501	33	0	1	501	1	501	0	743
CDY06586	AT5G55360	82.174	1021	165	11	1	1011	1	1014	0	861
CDY06609	AT5G55120	90.558	233	22	0	1	233	481	713	8.81e-84	309
CDY06637	AT5G54590	87.85	1177	141	2	1	1176	1	1176	0	1380
CDY06570	AT1G60700	83.942	548	86	2	555	1101	1032	1578	1.46e-147	523
CDY06556	AT5G55730	89.602	654	65	2	190	840	622	1275	0	828
CDY06628	AT5G54830	88.451	2615	286	11	1	2613	124	2724	0	3142
CDY06516	AT5G56200	85.029	521	57	9	731	1230	947	1467	1.27e-143	510
CDY06557	AT5G55720	86.842	1178	140	6	1	1163	1	1178	0	1303
CDY06583	AT5G55390	84.862	1308	180	12	1	1299	1	1299	0	1303
CDY06544	AT5G56030	87.983	233	28	0	1	233	1	233	1.36e-73	276
CDY06612	AT5G55090	83.321	1349	169	29	1	1322	1	1320	0	1194
CDY06532	AT4G26600	93.983	349	21	0	482	830	824	1172	3.2e-149	529
CDY06601	AT5G55180	86.449	1070	145	0	8	1077	8	1077	0	1173
CDY06622	AT5G54890	85.496	1048	128	10	1	1027	1	1045	0	1072
CDY06597	AT5G55220	90.453	1414	125	6	236	1647	239	1644	0	1855
CDY06554	AT5G55850	89.712	243	22	2	1	243	1	240	3.26e-83	307
CDY06524	AT5G56110	93.208	265	18	0	1	265	1	265	4.74e-108	390
CDY47549	AT5G37310	90.495	1757	165	2	24	1779	27	1782	0	2318
CDY47551	AT5G33370	89.302	1103	114	4	1	1101	1	1101	0	1380
CDY47560	AT5G34850	86.492	1414	180	8	35	1438	11	1423	0	1543
CDY47558	AT5G33290	89.844	1024	97	6	1	1019	481	1502	0	1308
CDY47550	AT5G32470	88.165	1673	168	13	119	1761	182	1854	0	1965
CDY47547	AT3G17000	89.669	484	50	0	1	484	1	484	2.88e-176	617
CDY47554	AT5G33340	81.982	1332	213	19	1	1323	1	1314	0	1105
CDY47559	AT5G33280	87.587	2296	278	5	1	2291	1	2294	0	2654
CDY47561	AT5G34940	85.776	1617	216	11	1	1610	1	1610	0	1700
CDY47555	AT5G33320	86.467	1234	150	15	1	1224	1	1227	0	1338
CDY47557	AT5G33300	82.08	971	144	18	3	958	6	961	0	802
CDY53035	AT4G13850	82.571	459	65	9	1	450	1	453	6.19e-108	390
CDY44125	AT4G23650	88.703	1558	142	17	28	1566	42	1584	0	1871
CDY44127	AT4G23680	87.719	456	56	0	1	456	1	456	9.71e-151	532
CDY44123	AT4G23630	88.129	834	90	4	1	831	1	828	0	983
CDY44122	AT4G23620	86.417	773	86	13	1	759	1	768	0	828
CDY44126	AT4G23660	85.921	1243	141	19	1	1232	1	1220	0	1295
CDY44106	AT4G23510	75.991	933	193	21	651	1575	960	1869	2.89e-126	453
CDY44113	AT4G23530	83.464	1022	140	10	157	1170	191	1191	0	924
CDY44124	AT4G23640	91.91	2324	188	0	24	2347	3	2326	0	3251
CDY44100	AT4G23470	87.289	653	76	4	6	653	3	653	0	739
CDY44097	AT4G23440	85.024	1656	235	10	1156	2806	1246	2893	0	1672
CDY44115	AT4G23550	81.502	919	138	17	1	891	19	933	0	726
CDY44114	AT4G23540	86.342	3324	424	17	1	3303	82	3396	0	3596
CDY44118	AT4G23570	86.774	499	63	1	163	661	556	1051	1.1e-156	553
CDY44105	AT4G23500	90.397	1208	116	0	143	1350	272	1479	0	1589
CDY44112	AT3G57870	88.202	178	18	2	31	208	307	481	8.03e-54	209
CDY44092	AT4G23330	86.726	452	50	9	1	450	1	444	4.52e-139	494
CDY44098	AT4G23450	90.476	84	8	0	10	93	172	255	6.03e-24	111
CDY71743	AT5G52890	83.978	181	27	2	246	425	765	944	2.35e-42	172
CDY66019	AT1G07170	86.103	331	46	0	1	331	1	331	4.5e-98	357
CDY63842	AT1G30080	87.73	815	85	5	65	867	416	1227	0	937
CDY63845	AT1G30050	85.4	637	84	4	413	1043	512	1145	0	652
CDY44828	AT1G61050	82.639	1273	185	20	1	1273	1	1237	0	1094
CDY44829	AT5G07200	79.372	892	172	7	247	1135	109	991	6.95e-176	617
CDY44834	AT1G10950	86.673	1118	147	2	137	1253	206	1322	0	1238
CDY44832	AT1G60960	87.407	405	51	0	1	405	109	513	2.37e-130	466
CDY44814	AT1G54450	90.74	1609	144	4	19	1623	1	1608	0	2141
CDY44833	AT1G60950	89.038	447	49	0	1	447	1	447	2.03e-157	555
CDY44816	AT3G57620	84.791	1624	221	10	43	1659	40	1644	0	1607
